fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-01-10,5336,1418,4344,1209,0.26574212893553223,0.27831491712707185
2021-01-11,19950,5461,17095,4769,0.273734335839599,0.2789704591985961
2021-01-12,22129,6227,18936,5355,0.28139545392923315,0.28279467680608367
2021-01-13,21972,5780,18785,4990,0.2630620790096486,0.2656374767101411
2021-01-14,27162,7709,23449,6852,0.28381562476989913,0.2922086229689965
2021-01-15,24781,7175,21539,6330,0.2895363383237157,0.29388551000510704
2021-01-16,10282,3032,9036,2729,0.294884263761914,0.3020141655599823
2021-01-17,8336,2395,7114,2105,0.2873080614203455,0.29589541748664605
2021-01-18,24708,7321,21450,6321,0.29630079326533915,0.29468531468531467
2021-01-19,26868,7346,23115,6353,0.2734107488462111,0.27484317542721176
2021-01-20,26151,7376,22611,6430,0.2820542235478567,0.28437486179293264
2021-01-21,26533,6616,22676,5719,0.2493498662043493,0.2522049744222967
2021-01-22,25242,5829,21481,4971,0.23092464939386736,0.23141380755085889
2021-01-23,9137,2298,7735,1989,0.25150487030754076,0.2571428571428571
2021-01-24,7161,1683,6097,1502,0.2350230414746544,0.24635066426111202
2021-01-25,23894,5663,20472,4819,0.23700510588432241,0.23539468542399375
2021-01-26,23638,4910,20231,4291,0.20771638886538624,0.21210024220256044
2021-01-27,26720,5572,23077,4904,0.2085329341317365,0.2125059583134723
2021-01-28,24347,5015,20867,4362,0.20598020289974125,0.20903819427804668
2021-01-29,21830,4265,18894,3660,0.19537333944113605,0.19371228961575104
2021-01-30,8486,1408,7139,1200,0.16592033938251238,0.16809076901526823
2021-01-31,6048,1007,5101,858,0.16650132275132276,0.16820231327190746
2021-02-01,5306,1056,4570,898,0.19901997738409347,0.19649890590809627
2021-02-02,20794,4232,18101,3674,0.20352024622487255,0.20297221148002872
2021-02-03,23113,4022,19978,3433,0.1740146238047852,0.17183902292521774
2021-02-04,19790,3377,16926,2938,0.17064173825164225,0.17357910906298002
2021-02-05,19474,3202,16972,2854,0.16442436068604294,0.16815932123497526
2021-02-06,6493,1070,5622,914,0.16479285384259973,0.16257559587335468
2021-02-07,4568,663,3959,565,0.14514010507880912,0.14271280626420813
2021-02-08,18846,3405,16286,2961,0.18067494428525946,0.18181259977895126
2021-02-09,20022,3405,17219,2896,0.17006293077614623,0.1681863058249608
2021-02-10,19544,3173,16646,2688,0.16235161686451086,0.1614802354920101
2021-02-11,17738,2676,15010,2255,0.1508625549667381,0.15023317788141238
2021-02-12,18154,2801,15587,2465,0.15429106532995482,0.15814460768589209
2021-02-13,5585,961,4892,826,0.1720680393912265,0.1688470973017171
2021-02-14,3757,480,3344,427,0.12776151184455684,0.1276913875598086
2021-02-15,18216,2844,15648,2474,0.15612648221343872,0.15810327198364008
2021-02-16,17271,2636,15034,2309,0.15262578889467895,0.1535852068644406
2021-02-17,17283,2535,14795,2212,0.14667592431869467,0.14950996958431903
2021-02-18,16874,2277,14348,1978,0.13494132985658408,0.1378589350432116
2021-02-19,15773,2370,13734,2084,0.15025676789450326,0.15174020678607836
2021-02-20,5232,831,4460,704,0.1588302752293578,0.15784753363228698
2021-02-21,3578,488,3008,421,0.1363890441587479,0.13996010638297873
2021-02-22,17162,2760,14802,2387,0.16082041720079246,0.16126199162275368
2021-02-23,16759,2569,14398,2287,0.1532907691389701,0.15884150576468953
2021-02-24,16146,2356,13834,2094,0.1459184937445807,0.15136619921931474
2021-02-25,14797,2216,12579,1973,0.1497600865040211,0.15684871611415852
2021-02-26,15077,2074,12901,1817,0.13756052265039465,0.14084179520967366
2021-02-27,4928,781,4083,684,0.15848214285714285,0.16752387950036737
2021-02-28,4097,509,3444,444,0.12423724676592629,0.1289198606271777
2021-03-01,16498,2671,13900,2314,0.16189841192871862,0.1664748201438849
2021-03-02,14875,2179,12694,1891,0.14648739495798319,0.14896801638569404
2021-03-03,15959,2334,13523,2046,0.1462497650228711,0.1512977889521556
2021-03-04,13388,2055,11427,1833,0.15349566776217508,0.16040955631399317
2021-03-05,11541,1797,9819,1599,0.15570574473615806,0.16284754048273756
2021-03-06,5646,719,4664,644,0.1273467941905774,0.13807890222984562
2021-03-07,4000,506,3283,423,0.1265,0.12884556807797745
2021-03-08,14762,2386,12815,2054,0.16163121528248206,0.16028092079594225
